name,description,internalPartNumber,category.name,storageLocation.name
CL10F104ZB8NNNC,"CAP CER 100N 50V Y5V -20% +80% SMD 0603 85C SAMSUNG",CCER000054,"SMD Ceramic",DWR001
RC0603JR-070RL,"RES 0R 1/10W SMD 0603 YAGEO",R000102,"SMD Chip Resistors",DWR002
RC0603FR-0740K2L,"RES 40K2 1% 1/10W SMD 0603 YAGEO",R000103,"SMD Chip Resistors",DWR003_A
RC0603FR-0722RL,"RES 22R 1% 1/10W SMD 0603 YAGEO",R000104,"SMD Chip Resistors",DWR002
RC0603FR-077K68L,"RES 7K68 1% 1/10W SMD 0603 YAGEO",R000105,"SMD Chip Resistors",DWR003_A
RC0603FR-07220RL,"RES 220R 1% 1/10W SMD 0603 YAGEO",R000106,"SMD Chip Resistors",DWR002
CL10A475KP8NNNC,"CAP CER 4U7 10V X5R 10% SMD 0603 85C SAMSUNG",CCER000041,"SMD Ceramic",DWR003_A
CL10B103KB8NCNC,"CAP CER 10N 50V X7R 10% SMD 0603 125C SAMSUNG",CCER000055,"SMD Ceramic",DWR002
CL10B474KA8NFNC,"CAP CER 470N 25V X7R 10% SMD 0603 125C SAMSUNG",CCER000056,"SMD Ceramic",DWR003_A
CL10A105KP8NNNC,"CAP CER 1U 10V X5R 10% SMD 0603 85C SAMSUNG",CCER000057,"SMD Ceramic",DWR003_A
155124GS73200,"LED GREEN 525NM SMD 1204 3V3 20mA 600mcd",LED000004,LEDs,DWR003_A
150060GS75000,"LED GREEN 520NM SMD 0603 3V2 20mA 430mcd",LED000002,LEDs,DWR003_A
WS2812B,"LED RGB-ADDRESSABLE SERIAL 5050",LED000007,LEDs,DWR002
150060YS75000,"LED YELLOW 590NM SMD 0603 2V 20mA 120mcd",LED000003,LEDs,DWR003_A
